,date,precipitation,temperature
0,2016-06-01,0.06,76.0
1,2016-06-01,0.89,70.0
2,2016-06-01,0.22,71.0
3,2016-06-01,,64.0
4,2016-06-01,0.38,75.0
5,2016-06-01,1.39,69.0
6,2016-06-01,1.4,70.0
7,2016-06-02,0.0,71.0
8,2016-06-02,0.15,69.0
9,2016-06-02,0.35,74.0
10,2016-06-02,,65.0
11,2016-06-02,0.03,75.0
12,2016-06-02,0.5,67.0
13,2016-06-02,0.74,71.0
14,2016-06-03,0.0,71.0
15,2016-06-03,0.16,70.0
16,2016-06-03,0.02,75.0
17,2016-06-03,,75.0
18,2016-06-03,0.47,75.0
19,2016-06-03,0.02,68.0
20,2016-06-03,0.1,70.0
21,2016-06-04,0.0,74.0
22,2016-06-04,0.0,68.0
23,2016-06-04,0.02,75.0
24,2016-06-04,0.0,65.0
25,2016-06-05,0.0,76.0
26,2016-06-05,0.63,70.0
27,2016-06-05,0.14,73.0
28,2016-06-05,0.22,70.0
29,2016-06-05,,73.0
30,2016-06-06,0.0,78.0
31,2016-06-06,0.36,74.0
32,2016-06-06,,76.0
33,2016-06-06,0.17,78.0
34,2016-06-06,0.52,72.0
35,2016-06-06,0.47,72.0
36,2016-06-07,0.01,77.0
37,2016-06-07,0.4,75.0
38,2016-06-07,,75.0
39,2016-06-07,,78.0
40,2016-06-07,0.07,77.0
41,2016-06-07,0.35,74.0
42,2016-06-07,1.26,71.0
43,2016-06-08,0.0,77.0
44,2016-06-08,0.0,74.0
45,2016-06-08,0.0,74.0
46,2016-06-08,,77.0
47,2016-06-08,0.0,80.0
48,2016-06-08,0.0,73.0
49,2016-06-08,0.01,71.0
50,2016-06-09,0.01,73.0
51,2016-06-09,0.21,71.0
52,2016-06-09,0.12,76.0
53,2016-06-09,,75.0
54,2016-06-09,0.15,72.0
55,2016-06-09,0.29,71.0
56,2016-06-09,1.7,69.0
57,2016-06-10,0.05,77.0
58,2016-06-10,0.06,73.0
59,2016-06-10,0.13,75.0
60,2016-06-10,0.23,78.0
61,2016-06-10,0.62,75.0
62,2016-06-10,1.4,70.0
63,2016-06-11,0.0,78.0
64,2016-06-11,0.02,75.0
65,2016-06-11,0.01,77.0
66,2016-06-11,0.0,78.0
67,2016-06-11,0.13,72.0
68,2016-06-11,0.65,73.0
69,2016-06-12,0.01,78.0
70,2016-06-12,0.04,74.0
71,2016-06-12,0.26,77.0
72,2016-06-12,0.12,77.0
73,2016-06-12,0.28,75.0
74,2016-06-12,0.55,75.0
75,2016-06-13,0.0,80.0
76,2016-06-13,0.08,76.0
77,2016-06-13,0.01,79.0
78,2016-06-13,,78.0
79,2016-06-13,0.1,78.0
80,2016-06-13,0.02,76.0
